doc_id,documento,tema_id,tema,palabras_clave
14674,les encargo a su tio richie montaje del usurero y los que estaban a la vuelta tambien estaban quot mordiendo quot a otros ciudadanos y la alcaldesa no me digan,-1,No clasificado,
14675,que no sabe de estos robos bravisima la carina pta esos son los informes que valen pobre tombo y que mano de ratas ademas corrieron mas rapido que el tombo,1,Seguridad,robos
14676,aun con camara y microfono solo por eso le doy lime saludos desde bogota excelente trabajo de esta senorita llego directo al nido de ratas y salieron huyendo esos ladrones,1,Seguridad,ladrones
14677,con placa de cuautitlan tlanepantla y naucalpan son el pan de cada dia y nadie pone orden y el gobierno que ase solo de bacasiones lo querian mexicanear estos policias,-1,No clasificado,
14678,corruptos no pueden quedar sin castigo ya quedo documentado en video que las autoridades superiores tomen las medidas correctas e informen a la poblacion que medidas aplicaron a rstos delincuentes,1,Seguridad,delincuentes
14679,que desonran vergonsozamente a las corporaciones policiacas que si se estan aplicando en protejer a la poblacion mexicana una replica de montaje al mero estilo de tvazteca en tiempos de,-1,No clasificado,
14680,pablo latapi recuerdan muy normal en muchos paises latinos pasa lo mismo ese policia deberia mexico de mandarlo a las proximas olimpiadas una medalla de oro inebitable para mexico jejeje,1,Seguridad,policia
14681,hasta la motorcycle se le olvido rata de patas a la carcel esta policias ratas respeten la autoridas br br la autoridad consecuencias eso es lo que quiero saber van,-1,No clasificado,
14682,a hacer el reporte o solo quieren views y likes usen este video y hagan el reporte legal igual que en republica dominicana llamen a la policia me sigue una,1,Seguridad,policia
14683,reportera que mal esta el mundo ni de la policia nos podemos fiar que tristeza vivir en latinoamerica a estas ratas deben ponerlas en la carcel unos anos solo asi,1,Seguridad,policia
14684,termina la corrupcion ve nomas que vergenza nuestras autoridades no mames cada cuando ves a un oficial huyendo de un civil guapa la justicia no k con morena no hay,5,Morena (-),corrupcion
14685,corrupcion pero porque lo graban son sus costumbres hay que respetarlas ajajajja ya sabemos que toda la vida en mexico son los rateros y delincuentes literal salieron corriendo como ratas,5,Morena (-),"corrupcion, rateros"
14686,mi mexico surreal reporteros persiguiendo policias de pelicula aun no pasa eso en peru mexico en una video jajajaja jajajaja jajajaja se pelaron las ratas mexico es el mejor pais,-1,No clasificado,
14687,de america cultura musica comida deliciosa monumentos maravillas del mundo playas paradisiacas que paso en mexico por que esta asi que sucede con los politicos sus uniformados es una lastima,-1,No clasificado,
14688,ver de aqui ese gran pais en manos maquiavelicas q chulada de video preciosa y valiente reportera ratas de porqueria habra que denunciar a mi no me pilla la reportera,-1,No clasificado,
14689,jajaja todos en mexico quieren tu dinero qualquier persona vieja nios policia todos que raro los policias corruptos de la claudia kariana colmenero mis respetos desde rep dom br que,1,Seguridad,policia
14690,valiente eres les quitaste el manjar de las manos mexico es un estado fallido y todo el que quiera arreglar eso es asesinado ladronessssss cada dia mejor mexico gracias a,-1,No clasificado,
14691,la flamante presidenta no hay seguridad juridica mal sintoma el gobierno debe salir por patas cuanto antes ahora eso es desde los siglos de los siglos esas basuras mier hay,1,Seguridad,seguridad
14692,q hacer algo pero besos y abrazos sra presidenta no hay q hacer duras las penas minimo a anos de carcel para q esta gente mier ya no siga haciendo,-1,No clasificado,
14693,dano a la gente como ratas cuando les da la luz del sol wow rateros ladrones y estaban en grupo uffff que mujeron valiente y bella bien por ella en,5,Morena (-),"ladrones, rateros"
14694,dejar en evidencia a esos elementos corruptos son lacras que los mexicanos pagan con sus impuestos kariana mi amor te amo te apoyo nadie te va hacer dano estas conmigo,5,Morena (-),corruptos
14695,bravo tv azteca asi se hace sigan haciendo el buen trabajo claudia ni esta ni se le espera que vergenza de pais mexico no tiene salida esta asumido en el,-1,No clasificado,
14696,temor por el narcotrafico y la policia es corrupta y que decir de los politicos por ahora no se ve luz al final del camino tv azteca pongan en forma,0,Servicios,luz
14697,a sus reporteros para poder seguir policias eso ase mas de anos que a pasado y seguira pasando las autoridades de morena estan trabajando muy muy muy lentos cuantos anos,-1,No clasificado,
14698,duro jer manero y asi monrreal sigue enquistados lili telles y asi desde arriba dan un escobaso y se sientan en anos posiblemente se limpie pero que tal los anuncios,-1,No clasificado,
14699,luego luego sigue el sirco en nuestro pais que se ponga a chambear la jefa de gobierno cuidado los mandan a silenciar oye pero es en todo lado la policia,1,Seguridad,policia
14700,corrupta alrato la siembran a la reportera la ley coimera la reportera policia policia ayuda se esta escapando el senor ah no mames policia atrapa a policia y la maistra,1,Seguridad,policia
14701,delfi alguien la ha visto br los policias mas rapidos pero para corromperse y para huir de sus raterias pobres mexicanos y aun asi los ignorantes idolatran a sus dirigentes,-1,No clasificado,
14702,mafiosos sheinbaum y compania momento badabum quien vino por la fibra en el cerro en la gente se sorprende de esto que pasa todos los dias en mexico comentario sin,4,Morena (+ / neutro),sheinbaum
14703,ninguna malicia adrian brito aguilar estaban extorsionando a esas personas que bandidos igual que sus politicos los polis muy buen trabajo por parte del equipo de reporteros pero que la,-1,No clasificado,
14704,presidenta exija las disculpas a espanita no mas se ke esta fuera de lugar pero tremenda cola han aprendido muy bien de su narcopresidente imaginate vivir en suiza br y,-1,No clasificado,
