doc_id,documento,tema_id,tema,palabras_clave
1729,el senor es un imbecil y cree que todos somos de su condicion bueno los chairos que defienden la deformacion si este cree que somos tontos y lo peor que,-1,No clasificado,
1730,hay quien le puede creer que se vaya a pintarle de colores las nalgas pero a su madre que no mame se cree chistoso br no tiene seriedad en su,-1,No clasificado,
1731,trabajo es asqueroso br tenemos otras prioridades que pintar de pues que le lleve jarabe a la cnte para que ya no se le hagan de tos y se vayan,-1,No clasificado,
1732,muy chistosito si es chistoso gracias cesar cravioto muy buen humor siempre hay mucha gente que la hace de tos por nada al gorrito le quedo el saco y se,-1,No clasificado,
1733,lo puso este senor gravioto junto con la senora clara brugada les quedo muy grande la ciudad de mexico de verdad este estupido no se da cuenta de los problemas,-1,No clasificado,
1734,que hay quien lo postulo para ser secretario de gobierno por este tipo de personajes morena puede perder la ciudad de mexico no se por que la presidenta claudia no,-1,No clasificado,
1735,los llama al orden acaso este idiota no se da cuenta de los bloqueos y la bandalizacion de la cente esperemos reflexione nuestro gobiernos gravioto estas muy pendej es su,-1,No clasificado,
1736,ciudad y lo peor es q puede ser el proximo jefe de gobierno y se rie el cinico pues es que tambien ningun chile les enbona br br los medios,-1,No clasificado,
1737,tradicionales los periodistas chayoteros y los prianaguados estan como la gata de angora br br quot si se las meten gritan y si se las sacan lloran quot br br,-1,No clasificado,
1738,como pude una persona con este nivel de inteligencia ocupar un cargo publico el br que fuera br la br ciudad se esta cayendo a pedazos y el haciendo chistes,-1,No clasificado,
1739,br no hay agua los drenajes estan colapsado hay mas baches que asfalto los arboles despedazan las banquetas el br metro esta rebasado apunto de colapsarlas lluvias dejan a la,2,Vialidades,"asfalto, baches, banquetas"
1740,gente sin su patrimonio entre mil cosas mas y br este senor pintando de morado las paredes br solo porque lo escucho lo puedo creer br sin palabras ah por,-1,No clasificado,
1741,cierto yo tengo el nombre de jarabe que quita la oligofrenia callate metolico por lo que escucho me queda claro que esta mintiendo vendo pulseras quot espanta pen jos quot,-1,No clasificado,
1742,por que a este paso habria que mantenerlos alejados norona estos mienten tanto como put son sus madres ha salir a votar en el y sacar a estos mediocres valemadristas,5,Morena (-),norona
1743,del gobierno el gobierno de la cdmx es profundamente ineficiente pongase a trabajar senor y vaya a burlarse de su jefa clarita eso ni esos tarados de morena se lo,-1,No clasificado,
1744,creen es vomitivo oir a ese tipejo corrupto y resentido de la vida quot payaso soy un triste payaso quot dice una cancion que cantaba javier solis ese cravioto representa,6,Corrupcion,corrupto
1745,exactamente a la llamada transformacion de ta hasta la cara tiene de mediocre se creen q tienen la verdad absoluta y que se pueden mofar de cualquier situacion que les,4,Morena (+ / neutro),transformacion
1746,alimente su ego mediocre no le vaya a caer un cubetazo de trumpina chairos deberian documentarse antes de hacer tanta tonteria no estoy contenta con este gobierno se esta transformando,-1,No clasificado,
1747,rsta ciudad para mal lo realmente importante no lo resuelven con esta entrevista me queda claro que este secretario de gobierno es uno mas de la planilla de morena ese,-1,No clasificado,
1748,secretario de gobierno de la cdmx no es una persona seria es un payaso y lo peor es que se burla de la gente con ese jarabe me recuerda a,-1,No clasificado,
1749,amlo en sus mananeras que se burlaba de las madres buscadoras cuando le decia a los delincuentes que dejaran en libertad a los secuestrados porque si no lo hacian los,1,Seguridad,delincuentes
1750,iba acusar con su mama infeliz ladron corrupto e imbecil asi como tuviste los huevotes para burlarte tenlos para sostener tus acciones cobarde ya es patologico su forma de mentir,1,Seguridad,ladron
1751,de este grupo uuuuuyyyy siiii nos tienen bien contentos pero no por las obras pesimas malas y feas sino por la bola de payasos que son ustedes politicos de quinta,3,Obras y proyectos,obras
1752,corruptos e ineptos que facil echarle la culpa a la empresa contratista quien estaba supervisando los trabajos de parte del gobierno de la ciudad de mexico que sencillo es lavarse,5,Morena (-),corruptos
1753,las manos seguramente creen que los ciudadanos nos chupamos el dedo bola de incompetentes este wey es un imbecil payaso como puedes cobrar tu sueldo payaso para eso te pagamos,-1,No clasificado,
1754,para esas pendejadas eres un servidor publico imbecil jajajajajaja ahora resulta que la empresa es la que la cago estos de morena no venden a su madre porque nadie se,-1,No clasificado,
1755,las compra que les hagan una auditoria y que paguen de su dinero tantas pendejadas ellos necesitan un jarabe antiimprovisacionus ja ja ja que chistoso que le de el jarabe,-1,No clasificado,
1756,a todos los narcopoliticos senalados para extradicion a eeuu por estar coludidos con el crimen organizado empezando por rocha moya creo que el necesita mas ese jarabe no tendra uno,1,Seguridad,crimen
1757,contra la diarrea para los de morena ahora que se los lleven a todos y terminen en la carcel es una falta de respeto para los ciudadanos br estan para,-1,No clasificado,
1758,hacer las cosas bien br son servidores publicos y reciben sus buenos sueldos esta destruyendo toda la ciudad ese secretario se parece a los trolls de david el gnomo la,-1,No clasificado,
1759,empresa encargada de la pintura se equivoco de color que no fue clara brugada la que escogio el color morado este senor cravioto se va por la tangente por supuesto,-1,No clasificado,
1760,que estamos pagando del herario publico doble gasto de pintura por sus pendejadas la empresa contratista no va a re pintar de a gratis es una burla esta gente vive,-1,No clasificado,
1761,en el mundo bizarro y hippie de clara brugada y como siempre salen con la idiotez de me interprrtaron mal no dije lo que dije y bla bla bla bla,-1,No clasificado,
1762,bla es un payaso simon ya parece que la empresa se va equivocar ellos siguen ordenes todos tienen la culpa menos ellos quien se la cree es que si son,-1,No clasificado,
1763,bien iguales el color amarillo y el morado se entiende no nos interesa los colores nos interesa que hagan su trabajo en la seguridad de los mexicanos contenta la gente,1,Seguridad,seguridad
1764,donde que no veo nadie feliz ya que estamos peor puros gobernantes descerebrados ni a cual irle de morena que decepcion acaso no tienen asesores que les digan que esta,-1,No clasificado,
1765,haciendo puras mmdas ese senor payasituux de moreniux que se ponga a trabajar en lugar de perder el tiempo ya que ese tiempo lo pagamos con nuestro impuesto los mexicanos,-1,No clasificado,
1766,payasin payasin tiene que justificar el presupuesto es el problema de tener gente tan ignorante que haga trabajos y me pregunto quien supervisa todos los trabajos que se hacen si,-1,No clasificado,
1767,trabajaran para una compania no terminarian un dia y en automatico los despedian por ineptos despidamos la fuera brugada es q brugada es inepta y corrupta por dios que horror,6,Corrupcion,corrupta
1768,esos politicos son una vergenza y tienen a lo que fue una hermosisima ciudad hecha una defecto y si primero la seguridad la senalizacion vial indican el color por ley,1,Seguridad,seguridad
1769,y por normatividad para la seguridad de los ciudadanos se esta violando la ley narcogobierno ignorante corruptos sinvergenzas que brutos de verdad no puede ser hasta las normas las pasan,5,Morena (-),"corruptos, narcogobierno"
1770,de largo esa bruburra es una corrupta inmoral fuera morena habra algo que no se cuando pararemos todos yodos de trabsjar detengamos una semana la economia de estos rat para,6,Corrupcion,corrupta
1771,que vesn wue estsmos unidos yyyy que no tenemos miedo ya de no comer pero ellos si teme que sus esclavos no les den el la boca de nuestro trabajo,-1,No clasificado,
1772,eso comen y visten seguiremos sin valor de quitarles nustro poder las mismas pendejadas que hizo el verde en san luis potosi claramente me cae muy mal esta senora dejen,-1,No clasificado,
1773,de decir la verdad de manera noble un politico preparado el diputado salomon chertorisky que manejo de la informacion en cambio brujada una porra de la t de acuerdo con,-1,No clasificado,
1774,todos si trabajara realmente trabajara esta ignorante en una empresa ya la hubieran corrido y lo sabemos la ignorancia no es premiada en un trabajo aqui esta senora no se,-1,No clasificado,
1775,cansa de cometer errores y simplemente sigue alli gastando nuestro dinero en sus tonterias ya basta esta gente no tiene conocimiento solo es delincuente y saqueadora gracias por poner un,1,Seguridad,delincuente
1776,poco de orden y explicar el para que y el porqu de los colores y senalamientos br por cierto gracias tambien br por re pintar de blanco el muro de,-1,No clasificado,
1777,contencion de tlalpan y el paso del metro br yano tiene esas ridiculas flores con colores estresantes ahora ya un buen tramo esta en blanco y hasta me da paz,-1,No clasificado,
1778,por que br se ve coherencia br br br asi que gracias por arreglar algo de todo el desorden que hay en cdmx br br tlalpan es un verdadero caos,-1,No clasificado,
1779,y demas avenidas pfff br br y todo esto por que br ahhh pues br br por desicin imposicion br y gracia br de una vi ja loca br caprichosa,2,Vialidades,avenidas
1780,br que tiene patas parriba todo cdmx br br por imponer el morado br como sello de apoyo incondicional a br ese movimiento de ideas y creencias reteogradas br todas,4,Morena (+ / neutro),movimiento
1781,esas mujeres reunidas creyendo y alimentando el odio hacia los hombres y contando su alterada realidad br desde el reforzamiento de esas creencias en contra de los hombres br br,-1,No clasificado,
1782,el feminismo y las feministas apoyadas por este gobierno br br es en realidad br el machismo br odio y encontra de br en genero br femenino br br br,-1,No clasificado,
