doc_id,texto,tokens,positivas,negativas,polaridad_score
165,"Derivado de labores de vigilancia y coordinación interinstitucional, la Guardia Municipal de Ciudad ",52,4,2,0.038461538461538464
166,"Estoy por entrar a una reunión muy importante en Palacio Nacional, convocada por la Presidenta de Mé",44,0,0,0.0
167,"Te compartimos el Comunicado No. 513 en su versión de Lectura Fácil, elaborada con un lenguaje claro",19,0,0,0.0
168,"Taller: Manicura y Spa de Manos 💅✨ El Gobierno de Ciudad Naucalpan, a través del Instituto de las Mu",24,0,0,0.0
169,"Dale a tu vida una esperanza. 🎗 Por un Naucalpan que escucha, cuida y acompaña. A veces, la tristeza",58,0,0,0.0
170,"En el Día de la Jueza, reconocemos la labor de las mujeres que contribuyen a una justicia más iguali",36,2,1,0.027777777777777776
171,"Te invitamos a acompañarnos en Huellas de la Transformación, un espacio donde seguiremos compartiend",34,2,0,0.058823529411764705
172,Las Huellas de la Transformación llegan a La Era Casas Viejas. ✨ Recuperamos un espacio comunitario ,43,3,0,0.06976744186046512
173,Cartelera Cultural y de Actividades de la Casa de la Cultura Chamapa.🎸🎨✨ A lo largo de la semana y l,56,2,0,0.03571428571428571
174,"Te invitamos a acompañarnos en Huellas de la Transformación, un espacio donde seguiremos compartiend",29,1,0,0.034482758620689655
175,¿Sabías qué? ⚽🌍 El Telstar 18 fue el balón utilizado en el torneo internacional de fútbol celebrado ,34,0,0,0.0
176,La Guardia Municipal de Ciudad Naucalpan reconoce la labor de las mujeres que forman parte de la cor,56,5,0,0.08928571428571429
177,Tianquiztli Tlatilca impulsa a productores y artesanos de Ciudad Naucalpan. 🧺✨ Se instaló el Tianqui,67,1,0,0.014925373134328358
178,Mañanera del Pueblo.✅ #AquiGobiernaLaEsperanza #Naucalpan #CuartaTransformacion,5,0,0,0.0
179,"Taller: Elaboración de Jabones Artesanales Frutales 🍊✨ El Gobierno de Ciudad Naucalpan, a través del",25,0,0,0.0
180,La Línea 3 del Mexicable continúa su desarrollo en Ciudad Naucalpan.🚡 La construcción de este import,82,6,1,0.06097560975609756
181,"Se refuerza la seguridad vial en la calle Calvario, en San Mateo Nopala. 🚧 Con el objetivo de reforz",40,4,0,0.1
182,"Taller: Elaboración de Desodorante Orgánico 🌿✨ El Gobierno de Ciudad Naucalpan, a través del Institu",24,0,0,0.0
183,¿Buscas empleo o quieres publicar vacantes para tu empresa? 💼 El Sistema Municipal de Empleo (S.I.M.,36,1,0,0.027777777777777776
184,La Línea 3 del Mexicable continúa su desarrollo en Ciudad Naucalpan.🚡 La construcción de este import,82,6,1,0.06097560975609756
