doc_id,texto,tokens,positivas,negativas,polaridad_score
129,conoce los modulos hospitalarios y sus servicios de ciudad naucalpan el gobierno de ciudad naucalpan,77,2,0,0.025974025974025976
130,aviso importante servicio militar nacional si aun no has entregado tu cartilla del smn para su trami,22,2,0,0.09090909090909091
131,el gobierno de ciudad naucalpan a traves de imcufiden y las huellasdelmundial invita a ninas ninos j,36,0,0,0.0
132,una sola bolsa de plastico puede causar estragos en toda la comunidad evitemos inundaciones y manten,15,1,2,-0.06666666666666667
133,la futura linea del mexicable transformara la movilidad de miles de familias naucalpenses parque lah,50,1,0,0.02
134,el gobierno de ciudad naucalpan te invita a la caravana impulsando el empleo acercate y conoce oport,26,0,0,0.0
135,mas de mil estudiantes de educacion basica enciudad naucalpan ya han sido beneficiados con las becas,91,8,1,0.07692307692307693
136,asisti a una nueva entrega de las becasritacetina junto a elizabeth rocha encargada de las becas par,35,6,0,0.17142857142857143
137,asisti a una nueva entrega de las becasritacetina junto a elizabeth rocha encargada de las becas par,78,8,0,0.10256410256410256
138,sabias que ciudad naucalpan alberga una de las mayores riquezas biologicas de la region nuestro muni,31,0,0,0.0
139,conoce a monse hercules charro y bella estos ejemplares ahora forman parte de la riqueza y diversida,23,1,0,0.043478260869565216
140,a una semana de su instalacion el comite jurisdiccional de seguridad en salud reporto saldo blanco c,60,5,0,0.08333333333333333
141,la caravana estamos contigo llega a la colonia el corral para acercar servicios y apoyos que contrib,29,1,0,0.034482758620689655
142,la seguridad tambien se construye con cercania orientacion y dialogo permanente con la ciudadania la,31,2,0,0.06451612903225806
143,te robaron tu cuenta de whatsapp actua de inmediato y evita que los delincuentes utilicen tu informa,30,1,1,0.0
144,el gobierno de mexico a traves de la secretaria de bienestar llevara a cabo en ciudad naucalpan la e,41,2,0,0.04878048780487805
145,en ciudad naucalpan seguimos generando espacios para fortalecer la economia local y reconocer el tra,37,0,0,0.0
146,la estrategia permanente en combate al robo de vehiculos sigue dando resultados en ciudad naucalpan ,43,2,1,0.023255813953488372
147,el gobierno de ciudad naucalpan encabezado por el presidente municipal isaac montoya en coordinacion,78,6,0,0.07692307692307693
148,junta municipal de reclutamiento smn el gobierno de ciudad naucalpan en coordinacion con sedena info,22,1,0,0.045454545454545456
149,continua a transformacion de la movilidad en ciudad naucalpan la futura linea del mexicable benefici,36,1,0,0.027777777777777776
150,conoce la cartelera de actividades de junio no te quedes fuera y comparte esta informacion con tu fa,12,0,0,0.0
151,cartelera mensual de junio imnis aquigobiernalaesperanza naucalpan imnis,7,0,0,0.0
152,que parte no entiendes satelite es de sus colonos deja de robar,5,0,0,0.0
153,tus perros de transito quitando placas en satelite por estacionarte en curva pero el diseno de las c,20,1,1,0.0
154,estamos muy cerquita de la alcaldia hermana de que este convenio traiga benificios mutuos,7,0,0,0.0
155,arregla las calles gordo y deja de tanta mamada,6,1,0,0.16666666666666666
156,gordo ratero,2,0,1,-0.5
157,buen dia la instancia encargada de retiro de animales que ponen en peligro a peatones es para report,9,0,2,-0.2222222222222222
158,en algun momento piensan hacer algo,1,0,0,0.0
159,chinga tu madre morenarco,3,0,0,0.0
160,juego mediocre,2,0,0,0.0
161,mejor chingas a tu puta madre denada,4,0,0,0.0
162,su mama tan joven alcalde larga vida,5,0,0,0.0
163,tu y ese afeminado chasrpm,2,0,0,0.0
164,cuando lo haras en naucalpan,2,0,0,0.0
165,el mundial social una gran iniciativa naucalpan ni la lluvia bajo el entusiasmo al seguir de cerca e,23,0,0,0.0
166,ojala dieras el paso historico pero para irte a la verga,5,0,0,0.0
167,hablando de mejorar la vida de los naucalpenses p cuando quita ambulantes y franeleros de satelite s,19,0,0,0.0
168,de que sirve si el cetram de cuatro caminos es un relajo y la inseguridad a todo lo que da y ni que ,11,0,3,-0.2727272727272727
169,por favor manden urgente arreglar esta banqueta ubicada en av de las fuentes esquina av de las fuent,18,0,0,0.0
170,y esa si la vas a pagar o le vas a dejar la deuda al siguiente gobierno,6,0,0,0.0
171,de verdad estos pendejos se creen buenos padres ser padre ha sido una de las mayores bendiciones de ,20,0,0,0.0
172,ahi me estacione donde acaba la curva porque quitan las placas en una calle pequena de uso residenci,12,1,0,0.08333333333333333
173,dimos un paso historico junto a mi amiga y companera la alcaldesa de azcapotzalco nancy nunez al fir,36,4,0,0.1111111111111111
174,asisti a una entrega mas de las becasritacetina en el forofelipevillanueva un programa impulsado por,68,8,4,0.058823529411764705
175,ganamos mexico marcadorfinal,3,0,0,0.0
176,vamos mexico naucalpan,2,0,0,0.0
177,gol de mexico vamos mexico naucalpan,4,0,0,0.0
178,marcador de medio tiempo vamos mexico naucalpan,4,0,0,0.0
179,hoy juega mexico vivamos juntos la emocion de esta gran fiesta deportiva internacional y apoyemos a ,17,0,0,0.0
180,felicidades a mi querida madre juana marquez que me dio vida y me sigue dando vida a ti te debo el e,19,0,0,0.0
181,felicito a mario martin delgado carrillo secretario de educacion publica del gobierno de mexico por ,27,5,0,0.18518518518518517
182,super asco se consuma el fraude de la ultra derecha en colombia y lo primero que sale a decir el nac,19,0,2,-0.10526315789473684
183,hoy dimos un paso historico junto a mi amiga y companera la alcaldesa de azcapotzalco nancy nunez al,15,1,0,0.06666666666666667
184,parque lahormiga sera una de las estaciones de este importante proyecto que fortalecera la conectivi,19,1,0,0.05263157894736842
185,continua a transformacion de la movilidad en ciudad naucalpan la futura linea del mexicable benefici,16,1,0,0.0625
186,esta la banqueta destruida no se puede caminar este sr de la tercera edad ya se cayo,6,0,0,0.0
187,estamos esperando respuesta del gobierno de naucalpan,4,0,0,0.0
188,tremenda casa y no pueden arreglarla por beneficio del abuelito yo en mi casa ni tengo banqueta es t,8,1,0,0.125
189,el tercer cadaver del dia en ahora localizan cuerpo de mujer con playera de mexico y envuelta en bol,21,2,2,0.0
190,por favor ayudenos a arreglar las calles de tecamachalco especialmente en fuente de leones,8,1,0,0.125
191,es verdad que el presidente municipal es abuelo de esta finisima mujer,5,0,0,0.0
192,tienen infracciones quieres parquimetros por lo menos arregla las pinches calles con ese dinero y no,9,1,0,0.1111111111111111
193,claramente se ve reflejada la aplicacion de la recaudacion,5,0,0,0.0
194,y de esos mil millones no le toco ni un centavo a mi colonia,5,0,0,0.0
195,muestra del exito y avance de las caravanas impulsandotusalud que acerca el gobierno de naucalpan a ,23,5,0,0.21739130434782608
196,y ni asi pueden arreglar unos simples semaforos en el toreo una completa burla la forma de gobernar ,10,0,0,0.0
197,como sino fueran corruptos se pasan de hipocritas,3,0,0,0.0
198,diganle eso a sus elementos que andan en moto se la pasan deteniendo autos y motocicletas en todo el,18,0,0,0.0
199,luego de jornadas consecutivas de entrega de apoyos a estudiantes de educacion basica en naucalpan e,10,4,0,0.4
200,puro inutil,2,0,0,0.0
201,ya arreglen los semaforos de ingenieros militares y san joaquin no puede ser posible tanta incompete,12,0,1,-0.08333333333333333
202,y sin embargo siguen entregando la zona protegida del bosque de los remedios malditos agachones,8,0,0,0.0
203,av del rio desde hace semanas esta devastada el isaac montoya no ha hecho limpia y restauracion del ,11,2,0,0.18181818181818182
204,ponganse a arreglar los semaforos de ingenieros militares y san joaquin tambien quiten todo el comer,22,0,0,0.0
205,por que esta cerrada av los arcos y calle abasolo,5,1,0,0.2
206,los demas conocen a los delincuentes y ustedes no y sus servicios de inteligencia extorsionadores at,32,0,2,-0.0625
207,soy como el marcelo bielsa de la vida de todo me quejo nada me parece y odio al mundo,6,0,0,0.0
208,durante la entrega de reconocimientos del programa contribuyentecumplido el alcalde de ciudad naucal,22,2,1,0.045454545454545456
209,sabias que en ciudad naucalpan por primera vez se destinaron casi mil millones de pesos en obra publ,12,1,0,0.08333333333333333
210,como resultado de la oportuna intervencion de los elementos del heroico cuerpo de bomberostepotzotla,14,1,0,0.07142857142857142
211,la verdad es que es mentira aquigobiernalaesperanza naucalpan,3,0,0,0.0
212,el alcalde isaac montoya marquez y la alcaldesa de azcapotzalco nancy nunez firmaron un convenio mar,19,1,0,0.05263157894736842
213,con el objetivo de fortalecer entornos laborales sanos productivos y respetuosos el gobierno de ciud,22,1,1,0.0
214,sabias que ciudad naucalpan alberga una de las mayores riquezas biologicas de la region nuestro muni,31,0,0,0.0
215,junta municipal de reclutamiento smn el gobierno de ciudad naucalpan en coordinacion con sedena info,22,1,0,0.045454545454545456
216,lo que en verdad les deberia importar es la seguridad de los naucalpenses el tercer cadaver del dia ,25,3,2,0.04
217,aqui es donde deberia estar su atencion no en circo que nadie pidio dos personas resultaron lesionad,19,0,1,-0.05263157894736842
218,ahora la ya inicio la indagatoria y el levantamiento del cadaver de un hombre quien fue bajado de un,19,1,1,0.0
219,en el foro felipe villanueva del parquenaucalli el presidente municipal isaac montoya junto a elizab,31,3,0,0.0967741935483871
220,tambien en naucalpan hay que salir mas seguido de la zona de comfort eh,5,0,0,0.0
221,el que deberia aprenserselas eres tu por que en naucalpan tambien hay una colonia llamada valle dora,7,0,0,0.0
222,jorge becerril a ver segun tu tantos anos y anos en la calle y no sabes las ubicaciones valle dorado,14,1,0,0.07142857142857142
223,si quieres delinquir a naucalpan tienes que ir,3,0,0,0.0
224,naucalpan refuerza combate al robo de vehiculos con operativo fortaleza,7,1,1,0.0
225,el presidente municipal de naucalpan es un completo incompetente no ha podido arreglar unos simples ,17,1,0,0.058823529411764705
226,ahora abandonan cadaver amarrado de pies y manos asi como cinta en los ojos y varios disparos en val,14,1,2,-0.07142857142857142
227,nada mas vean como el inutil de tiene las calles de el video y fotos muestran como en mas de ano y m,18,2,2,0.0
228,el alcalde isaac montoya invita a las y los naucalpenses a disfrutar de la transmision de los partid,19,0,0,0.0
229,mundial social de las cuatro casas llega al foro cuahutemoc de naucalpan naucalpan,8,0,0,0.0
230,jajajajajaja siguen investigando si es un elemento activo o si es un falso policia cuanto tiempo nec,15,0,0,0.0
231,musica futbol y cultura gratis en el mundial social de naucalpan lee aqui,8,1,0,0.125
232,valiente seudo presidente de colonos empleado de que todo permite todo calla hara algo o solo se har,10,0,0,0.0
233,comerciantes se columpiaban bajo el amparo de colonos sera la mano que mece la cuna junto para chant,16,0,0,0.0
234,vecinos tienen esta duda porque la autoridad presente permite dano en areas verdes de comercio infor,17,0,0,0.0
235,aqui el nombre de quien esta presente y no presenta denuncia ante autoridad por que sera el lo mando,10,1,0,0.1
236,naucalpan el gobierno de en conformidad con la vision de nuestra presidenta encabezo la mesa de paz ,41,1,0,0.024390243902439025
237,valle dorado es tlalnepantla,3,0,0,0.0
238,video operacion cardiaca traslado expres de corazon permite trasplante a joven en su cumpleanos,10,0,0,0.0
239,gobierno de naucalpan trabaja todos los dias con obras para mejorar los espacios publicos el alcalde,18,0,0,0.0
240,estrategias de seguridad en naucalpan permiten que baje el robo de auto asegurado con base en cifras,54,2,2,0.0
241,alcalde de naucalpan encabeza la octava entrega de lentes gratuitos el alcalde isaac montoya informo,49,6,0,0.12244897959183673
242,gobierno de naucalpan en su octava entrega de lentes gratuitos beneficia a mil ciudadanos el alcalde,24,2,0,0.08333333333333333
243,isaac montoya destaco la participacion de cientos de familias en el mundial social las cuatro casas ,21,1,0,0.047619047619047616
244,gran noticia desde naucalpan el programa impulsando tu salud del alcalde isaac montoya ya entrego ma,19,1,0,0.05263157894736842
245,isaac montoya pone fin a anos de rezago hidrico en la zona alta de naucalpan trinarnoticias siguemey,19,0,0,0.0
246,isaac montoya firma convenio con azcapotzalco para mejorar zona limitrofe feed noticia parati,11,0,0,0.0
247,azcapotzalco y naucalpan concretan alianza por seguridad movilidad e infraestructura la alcaldesa na,36,2,0,0.05555555555555555
248,desercion escolar va disminuyendo gracias a las becas rita cetina montoya durante la jornada de la e,45,7,2,0.1111111111111111
249,autoridades hallaron un cuerpo con signos de violencia en la colonia valle dorado en naucalpan estad,19,0,1,-0.05263157894736842
250,lomasvisto valeria escobar alumna del plantel naucalpan es orgullocch ella desarrollo la incubadora ,17,0,0,0.0
251,las maravillas de encontrar chicas que desean vivir de verdad su sexualidad sin taboos sin miedos so,17,0,0,0.0
252,hay talento solo falta apoyarlo patomerlin embajador del mundial llego al gol fest en el parque nauc,20,0,3,-0.15
253,edomex guardia nacional y policia de naucalpan resguardan la zona donde fue hallado el cuerpo de un ,23,1,1,0.0
254,sentencian a mas de anos de prision a teodoro raul n y maria aurelia n una pareja de la tercera edad,21,0,1,-0.047619047619047616
255,elementos de la guardia nacional y de la policia de naucalpan resguardan la zona donde se hallo el c,18,1,1,0.0
256,atencion naucalpan lascuatrocasas del al de junio no faltes mundial social de las cuatro casas mundi,14,0,0,0.0
257,en naucalpan hay bestias que se encabronan por no comprar sus dulces de toreo a ro de mayo chimalhua,28,0,0,0.0
258,a tu jefe tambien le gustaba pueblear esos domingos interminables de recorrer los alrededores de nau,23,1,0,0.043478260869565216
259,buenas tardes estimado cliente le informamos clima naucalpan c huixquilucan c lerma c buen viaje,12,0,0,0.0
260,buenas tardes estimado cliente le informamos tiempo de recorrido cuota minutos de toluca hacia nauca,20,0,0,0.0
261,condenan a pareja de adultos mayores por asesinato e intento de homicidio en naucalpan,7,0,2,-0.2857142857142857
262,ese vato tiene cara de que su descendencia es de naucalpan al chile,5,0,0,0.0
263,otra victima un supuesto guardia municipal de naucalpan abandono su moto al ser descubierto presunta,17,0,3,-0.17647058823529413
264,otra victima un supuesto guardia municipal de naucalpan abandono su moto al ser descubierto cuando i,20,0,3,-0.15
265,muy importante avenida ya que conecta el estado de mexico y la cdmx naucalpan azcapotzalco me alegra,13,0,0,0.0
266,gracias por llevar a naucalpan por este camino de exitos para el bien de su gente el liderazgo se no,8,0,0,0.0
267,felicidades,1,0,0,0.0
