fecha_semana,nombre_semana,caso,caso_label,red_social,red_social_label,tipo_publicacion,cuenta_origen,autor,titulo,texto_publicacion,texto_para_analisis,url_publicacion,id_publicacion,fecha_publicacion,fecha_publicacion_date,archivo_origen
2026-01-16,2026-01-16_al_2026-01-30_Facebook,gobierno_naucalpan,Gobierno de Naucalpan,facebook,Facebook,post_facebook,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,,"El Gobierno de Ciudad Naucalpan, a través de la Dirección de Servicios Públicos, atendió de manera oportuna la situación sanitaria del Mercado de Molino, donde la acumulación de residuos sólidos representaba un riesgo para la salud pública de comerciantes y familias usuarias. Como parte de esta intervención, se instaló un contenedor de basura que permite mejorar el control, la recolección y el retiro oportuno de los residuos, contribuyendo a mantener un entorno más limpio, ordenado y seguro para la comunidad. #AquiGobiernaLaEsperanza #Naucalpan #ServiciosPublicos","El Gobierno de Ciudad Naucalpan, a través de la Dirección de Servicios Públicos, atendió de manera oportuna la situación sanitaria del Mercado de Molino, donde la acumulación de residuos sólidos representaba un riesgo para la salud pública de comerciantes y familias usuarias. Como parte de esta intervención, se instaló un contenedor de basura que permite mejorar el control, la recolección y el retiro oportuno de los residuos, contribuyendo a mantener un entorno más limpio, ordenado y seguro para la comunidad. #AquiGobiernaLaEsperanza #Naucalpan #ServiciosPublicos",https://www.facebook.com/reel/710830648629354/,https://www.facebook.com/reel/710830648629354/,2026-01-29 09:35:58,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Facebook/2026-01-16_al_2026-01-30_Facebook/2026-01-16_al_2026-01-30_Facebook_posts.csv
2026-01-16,2026-01-16_al_2026-01-30_Facebook,gobierno_naucalpan,Gobierno de Naucalpan,facebook,Facebook,post_facebook,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,,"Guía Ciudadana para el Pago del Impuesto Predial 2026🧾🏠 En el Gobierno de Ciudad Naucalpan trabajamos para que cada trámite sea más claro, sencillo y accesible para todas y todos. 👉Consulta en las imágenes la guía completa con los requisitos, opciones de pago y descuentos vigentes, y realiza tu contribución de forma fácil y sin contratiempos. Tu predial se transforma en obras, servicios y mejores espacios para nuestra comunidad. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal","Guía Ciudadana para el Pago del Impuesto Predial 2026🧾🏠 En el Gobierno de Ciudad Naucalpan trabajamos para que cada trámite sea más claro, sencillo y accesible para todas y todos. 👉Consulta en las imágenes la guía completa con los requisitos, opciones de pago y descuentos vigentes, y realiza tu contribución de forma fácil y sin contratiempos. Tu predial se transforma en obras, servicios y mejores espacios para nuestra comunidad. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal",https://www.facebook.com/CiudadNaucalpan/posts/pfbid027wzcp2XQJtH8x5GP9YNeSSjaR3Y8QhFZM5a6aAdBWLZ4xupfDbn3s7knRqmZnAXol,https://www.facebook.com/CiudadNaucalpan/posts/pfbid027wzcp2XQJtH8x5GP9YNeSSjaR3Y8QhFZM5a6aAdBWLZ4xupfDbn3s7knRqmZnAXol,2026-01-29 07:31:04,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Facebook/2026-01-16_al_2026-01-30_Facebook/2026-01-16_al_2026-01-30_Facebook_posts.csv
2026-01-16,2026-01-16_al_2026-01-30_Facebook,gobierno_naucalpan,Gobierno de Naucalpan,facebook,Facebook,post_facebook,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,,"¿Sabías qué? ⚽🌍 El primer jugador mexicano en anotar en un Mundial fue Manuel Rosas, durante el Primer Mundial de Fútbol en Uruguay, en 1930. #AquiGobiernaLaEsperanza #HuellasDelMundial #Naucalpan","¿Sabías qué? ⚽🌍 El primer jugador mexicano en anotar en un Mundial fue Manuel Rosas, durante el Primer Mundial de Fútbol en Uruguay, en 1930. #AquiGobiernaLaEsperanza #HuellasDelMundial #Naucalpan",https://www.facebook.com/CiudadNaucalpan/posts/pfbid02jLi1ScAPnLCiGpS7t9G2cWEcK11KADqmRPNygT1kqRbwRUZDgmnfHLpSffqbMYawl,https://www.facebook.com/CiudadNaucalpan/posts/pfbid02jLi1ScAPnLCiGpS7t9G2cWEcK11KADqmRPNygT1kqRbwRUZDgmnfHLpSffqbMYawl,2026-01-29 07:03:25,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Facebook/2026-01-16_al_2026-01-30_Facebook/2026-01-16_al_2026-01-30_Facebook_posts.csv
2026-01-16,2026-01-16_al_2026-01-30_Twitter,gobierno_naucalpan,Gobierno de Naucalpan,twitter,Twitter/X,tweet,@GobNau,@GobNau,,"Después de las fiestas, cuidemos el medio ambiente Lleva tu árbol natural, sin adornos ni base, de lunes a viernes, de 9:00 a 15:00 hrs., a la Dirección de #MedioAmbiente o Parque Naucalli. Hasta el 16 de febrero. #AquiGobiernaLaEsperanza","Después de las fiestas, cuidemos el medio ambiente Lleva tu árbol natural, sin adornos ni base, de lunes a viernes, de 9:00 a 15:00 hrs., a la Dirección de #MedioAmbiente o Parque Naucalli. Hasta el 16 de febrero. #AquiGobiernaLaEsperanza",https://x.com/GobNau/status/2017016420379308542,https://x.com/GobNau/status/2017016420379308542,2026-01-29 23:26:03+00:00,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Twitter/2026-01-16_al_2026-01-30_Twitter/2026-01-16_al_2026-01-30_Twitter_post_institucionales.csv
2026-01-16,2026-01-16_al_2026-01-30_Twitter,gobierno_naucalpan,Gobierno de Naucalpan,twitter,Twitter/X,tweet,@GobNau,@GobNau,,Operativo Integral de Mantenimiento en la Avenida Adolfo López Mateos #AquiGobiernaLaEsperanza #Naucalpan #ServiciosPúblicos,Operativo Integral de Mantenimiento en la Avenida Adolfo López Mateos #AquiGobiernaLaEsperanza #Naucalpan #ServiciosPúblicos,https://x.com/GobNau/status/2016950285478883405,https://x.com/GobNau/status/2016950285478883405,2026-01-29 19:03:15+00:00,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Twitter/2026-01-16_al_2026-01-30_Twitter/2026-01-16_al_2026-01-30_Twitter_post_institucionales.csv
2026-01-16,2026-01-16_al_2026-01-30_Twitter,gobierno_naucalpan,Gobierno de Naucalpan,twitter,Twitter/X,tweet,@GobNau,@GobNau,,"Desde el Gobierno de Ciudad #Naucalpan se brindó atención oportuna a una persona adulta mayor en situación de vulnerabilidad, a través de una intervención interinstitucional coordinada por el DIF Municipal, priorizando su salud, seguridad y dignidad. #AquiGobiernaLaEsperanza","Desde el Gobierno de Ciudad #Naucalpan se brindó atención oportuna a una persona adulta mayor en situación de vulnerabilidad, a través de una intervención interinstitucional coordinada por el DIF Municipal, priorizando su salud, seguridad y dignidad. #AquiGobiernaLaEsperanza",https://x.com/GobNau/status/2016935491614994918,https://x.com/GobNau/status/2016935491614994918,2026-01-29 18:04:28+00:00,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Twitter/2026-01-16_al_2026-01-30_Twitter/2026-01-16_al_2026-01-30_Twitter_post_institucionales.csv
2026-01-16,2026-01-16_al_2026-01-30_Twitter,gobierno_naucalpan,Gobierno de Naucalpan,twitter,Twitter/X,tweet,@GobNau,@GobNau,,"Pago Predial Naucalpan 2026 Paga en Tesorería, receptorías, bancos o en línea. Pago en línea: https://f.mtr.cool/fybqjefxcq Cumplir fortalece tu colonia y tu municipio. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal","Pago Predial Naucalpan 2026 Paga en Tesorería, receptorías, bancos o en línea. Pago en línea: https://f.mtr.cool/fybqjefxcq Cumplir fortalece tu colonia y tu municipio. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal",https://x.com/GobNau/status/2016906451344576915,https://x.com/GobNau/status/2016906451344576915,2026-01-29 16:09:04+00:00,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Twitter/2026-01-16_al_2026-01-30_Twitter/2026-01-16_al_2026-01-30_Twitter_post_institucionales.csv
2026-01-16,2026-01-16_al_2026-01-30_Twitter,gobierno_naucalpan,Gobierno de Naucalpan,twitter,Twitter/X,tweet,@GobNau,@GobNau,,"¿Sabías qué? El primer jugador mexicano en anotar en un Mundial fue Manuel Rosas, durante el Primer Mundial de Fútbol en Uruguay, en 1930. #AquiGobiernaLaEsperanza #HuellasDelMundial #Naucalpan","¿Sabías qué? El primer jugador mexicano en anotar en un Mundial fue Manuel Rosas, durante el Primer Mundial de Fútbol en Uruguay, en 1930. #AquiGobiernaLaEsperanza #HuellasDelMundial #Naucalpan",https://x.com/GobNau/status/2016859726961655871,https://x.com/GobNau/status/2016859726961655871,2026-01-29 13:03:25+00:00,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Twitter/2026-01-16_al_2026-01-30_Twitter/2026-01-16_al_2026-01-30_Twitter_post_institucionales.csv
2026-01-16,2026-01-16_al_2026-01-30_Twitter,gobierno_naucalpan,Gobierno de Naucalpan,twitter,Twitter/X,tweet,@GobNau,@GobNau,,Continúa la recolección de arbolitos de Navidad en Ciudad Naucalpan. Reciclar es cuidar el ambiente. #AquiGobiernaLaEsperanza #Naucalpan #MedioAmbiente,Continúa la recolección de arbolitos de Navidad en Ciudad Naucalpan. Reciclar es cuidar el ambiente. #AquiGobiernaLaEsperanza #Naucalpan #MedioAmbiente,https://x.com/GobNau/status/2016668974352674907,https://x.com/GobNau/status/2016668974352674907,2026-01-29 00:25:26+00:00,2026-01-29,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Twitter/2026-01-16_al_2026-01-30_Twitter/2026-01-16_al_2026-01-30_Twitter_post_institucionales.csv
2026-01-16,2026-01-16_al_2026-01-30_Facebook,gobierno_naucalpan,Gobierno de Naucalpan,facebook,Facebook,post_facebook,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,,"El Gobierno de Ciudad Naucalpan, a través de la Dirección de Medio Ambiente, continúa con la recolección de arbolitos de Navidad en los centros de acopio oficiales. 🎄 La ciudadanía puede acudir de lunes a viernes, de 9:00 a 15:00 horas, para entregar su arbolito y contribuir a su reciclaje y aprovechamiento ambiental. ➡️ Te invitamos a consultar la imagen para conocer los puntos de acopio y las indicaciones para una entrega adecuada. Reciclar tu arbolito es cuidar el medio ambiente. 🌱 #AquiGobiernaLaEsperanza #Naucalpan #MedioAmbiente","El Gobierno de Ciudad Naucalpan, a través de la Dirección de Medio Ambiente, continúa con la recolección de arbolitos de Navidad en los centros de acopio oficiales. 🎄 La ciudadanía puede acudir de lunes a viernes, de 9:00 a 15:00 horas, para entregar su arbolito y contribuir a su reciclaje y aprovechamiento ambiental. ➡️ Te invitamos a consultar la imagen para conocer los puntos de acopio y las indicaciones para una entrega adecuada. Reciclar tu arbolito es cuidar el medio ambiente. 🌱 #AquiGobiernaLaEsperanza #Naucalpan #MedioAmbiente",https://www.facebook.com/CiudadNaucalpan/posts/pfbid02qKEP5fwHW328AfQNExkjdTKhN528AxwXpz57sNKh9dniVKhmYwrtZV1qr7hK4nxtl,https://www.facebook.com/CiudadNaucalpan/posts/pfbid02qKEP5fwHW328AfQNExkjdTKhN528AxwXpz57sNKh9dniVKhmYwrtZV1qr7hK4nxtl,2026-01-28 18:23:26,2026-01-28,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Facebook/2026-01-16_al_2026-01-30_Facebook/2026-01-16_al_2026-01-30_Facebook_posts.csv
2026-01-16,2026-01-16_al_2026-01-30_Facebook,gobierno_naucalpan,Gobierno de Naucalpan,facebook,Facebook,post_facebook,ciudadnaucalpan,Ciudad Naucalpan / Gobierno Municipal 2025-2027.,,"Memorias de cálculo para la COI y el Impuesto Ecológico por Emisiones en el Edoméx 🌱 El Gobierno de Ciudad Naucalpan, a través de la Dirección de Desarrollo y Fomento Económico, invita a participar en este curso para aprender a realizar los cálculos necesarios para cumplir con el reporte anual y determinar el impuesto a pagar por cada tonelada de CO₂e. 👉 Consulta en las imágenes toda la información sobre fechas, horarios, sede, temario e inscripciones. #AquiGobiernaLaEsperanza #Naucalpan #DesarrolloEconomico","Memorias de cálculo para la COI y el Impuesto Ecológico por Emisiones en el Edoméx 🌱 El Gobierno de Ciudad Naucalpan, a través de la Dirección de Desarrollo y Fomento Económico, invita a participar en este curso para aprender a realizar los cálculos necesarios para cumplir con el reporte anual y determinar el impuesto a pagar por cada tonelada de CO₂e. 👉 Consulta en las imágenes toda la información sobre fechas, horarios, sede, temario e inscripciones. #AquiGobiernaLaEsperanza #Naucalpan #DesarrolloEconomico",https://www.facebook.com/CiudadNaucalpan/posts/pfbid02h2hxjw6vfvcaPWwoJfzc1p9iP1LjDAbby68qysuUw1gqwY5jRtHZYUjsqpkKhfbjl,https://www.facebook.com/CiudadNaucalpan/posts/pfbid02h2hxjw6vfvcaPWwoJfzc1p9iP1LjDAbby68qysuUw1gqwY5jRtHZYUjsqpkKhfbjl,2026-01-28 17:30:34,2026-01-28,/home/emilio/Documentos/Naucalpan_Semanal_Reportes/Periodico/Enero_Mayo/2026-01-16_al_2026-01-30/Facebook/2026-01-16_al_2026-01-30_Facebook/2026-01-16_al_2026-01-30_Facebook_posts.csv
